keys,en,zh_CN
新手教程,Tutorial,新手教程
自由对战,Free Play,自由对战
练习对局 · 基础流程,Practice · Basics,练习对局 · 基础流程
牌局记录,Hand History,牌局记录
统计与成就,Statistics & Achievements,统计与成就
玩法说明,How to Play,玩法说明
设置,Settings,设置
开启本地音效,Sound Effects,开启本地音效
快速行动,Fast Actions,快速行动
规则速览,Rules,规则速览
牌型速览,Hand Rankings,牌型速览
显示提示入口（尚无分析结果）,Show hints (no analysis yet),显示提示入口（尚无分析结果）
显示提示入口（本地教练尚不可用）,Show hints (coach unavailable),显示提示入口（本地教练尚不可用）
继续游戏,Resume Game,继续游戏
暂停游戏,Pause Game,暂停游戏
关闭,Close,关闭
旧版历史汇总（无法追溯）,Legacy Summary (not traceable),旧版历史汇总（无法追溯）
重置历史汇总,Reset Legacy Summary,重置历史汇总
再次点击确认,Click Again to Confirm,再次点击确认
新手教程 · 七课入门,Tutorial · Seven Lessons,新手教程 · 七课入门
开始,Start,开始
取消,Cancel,取消
AI 对手,AI Opponents,AI 对手
难度,Difficulty,难度
初始筹码,Starting Chips,初始筹码
大小盲,Blinds,大小盲
每手结束时暂停复盘,Pause after each hand,每手结束时暂停复盘
返回首页,Back to Home,返回首页
记录,Log,记录
提示,Hint,提示
隐藏提示入口,Hide Hint,隐藏提示入口
重试,Retry,重试
等待 AI…,Waiting for AI…,等待 AI…
弃牌,Fold,弃牌
让牌,Check,让牌
跟注,Call,跟注
全下,All-in,全下
加注到,Raise to,加注到
翻前,Preflop,翻前
翻牌,Flop,翻牌
转牌,Turn,转牌
河牌,River,河牌
摊牌,Showdown,摊牌
结算,Hand Complete,结算
轮到你行动,Your action,轮到你行动
盲注,Blind,盲注
本手牌已保存,Hand saved,本手牌已保存
重试保存,Retry Save,重试保存
复盘本手,Replay Hand,复盘本手
重新开始,Restart,重新开始
返回菜单,Back to Menu,返回菜单
系统 / 跟随系统,System / Follow System,System / 跟随系统
简体中文,Simplified Chinese,简体中文
English,English,English
语言,Language,语言
总手数,Total hands,总手数
胜手,Wins,胜手
净盈利,Net profit,净盈利
Language / 语言,Language / 语言,Language / 语言
你,You,你
已弃牌,Folded,已弃牌
出局,Out,出局
加注,Raise,加注
下一手,Next Hand,下一手
已暂停,Paused,已暂停
练习对局配置,Practice Setup,练习对局配置
自由对战配置,Free Play Setup,自由对战配置
简单,Easy,简单
普通,Medium,普通
困难,Hard,困难
音效,Audio,音效
节奏,Pace,节奏
第 %d 手 · %s,Hand %d · %s,第 %d 手 · %s
总手数 %d · 最终筹码 %d · 净盈利 %d · 最大单手 +%d,Total hands %d · Final stack %d · Net profit %d · Best hand +%d,总手数 %d · 最终筹码 %d · 净盈利 %d · 最大单手 +%d
牌谱未保存，可重试或清理旧牌谱,Hand history not saved. Retry or clear old records.,牌谱未保存，可重试或清理旧牌谱
等待 %s 行动,Waiting for %s,等待 %s 行动
按最小单位调整加注,Adjust raise by the minimum increment,按最小单位调整加注
实时提示暂不可用,Live hints unavailable,实时提示暂不可用
本地教练尚未接入，当前没有建议或胜率。打开此面板不会计作使用实时辅助，也不改变发牌或对手行为。,The local coach is not connected. No advice or equity is available. Opening this panel does not count as assistance and does not change dealing or opponents.,本地教练尚未接入，当前没有建议或胜率。打开此面板不会计作使用实时辅助，也不改变发牌或对手行为。
未能保存,Could not save,未能保存
设置本次仍然有效，但未能写入本地文件。请检查磁盘空间和存档目录权限；退出后本次更新可能丢失。,Settings still apply this session but could not be written locally. Check disk space and save-directory permissions; changes may be lost after quitting.,设置本次仍然有效，但未能写入本地文件。请检查磁盘空间和存档目录权限；退出后本次更新可能丢失。
离开牌桌？,Leave the table?,离开牌桌？
确认退出,Quit,确认退出
确认返回菜单,Return to menu,确认返回菜单
删除,Delete,删除
删除这手牌谱？,Delete this hand history?,删除这手牌谱？
只删除该手完整回放。累计统计、教程进度和已解锁成就保留。,"Only this hand's full replay is deleted. Cumulative statistics, tutorial progress, and unlocked achievements remain.",只删除该手完整回放。累计统计、教程进度和已解锁成就保留。
确认删除,Delete hand history,确认删除
没有完整牌谱,No complete hand history,没有完整牌谱
只有已结算的有效手牌可以回放。,Only completed valid hands can be replayed.,只有已结算的有效手牌可以回放。
上一动作,Previous action,上一动作
播放,Play,播放
暂停,Pause,暂停
下一动作,Next action,下一动作
返回记录,Back to history,返回记录
返回牌桌,Back to table,返回牌桌
全知视角（仅此已结束手牌，包含已弃牌底牌）,Omniscient view (completed hand only; includes folded hole cards),全知视角（仅此已结束手牌，包含已弃牌底牌）
回放是独立只读记录；不会重新计算胜负或累计战绩。,Replay is read-only. It does not recalculate results or cumulative statistics.,回放是独立只读记录；不会重新计算胜负或累计战绩。
配置无效：请选择支持的 AI 数量、筹码和大小盲。,Invalid configuration: choose a supported AI count stack and blinds.,配置无效：请选择支持的 AI 数量、筹码和大小盲。
配置无效：请选择 1–5 名 AI、合法筹码和大小盲。,Invalid configuration: choose 1–5 AI players and valid stack and blinds.,配置无效：请选择 1–5 名 AI、合法筹码和大小盲。
配置恢复,Profile recovery,配置恢复
本地资料,Local data,本地资料
未能重置,Could not reset,未能重置
AI 暂停,AI paused,AI 暂停
音乐音量,Music Volume,音乐音量
音效音量,Effects Volume,音效音量
音频署名,Audio Credits,音频署名
认识牌桌,Know the Table,认识牌桌
牌型大小,Hand Rankings,牌型大小
轮到我怎么办,What Do I Do?,轮到我怎么办
完整打一手,Play a Full Hand,完整打一手
庄位与盲注,Button and Blinds,庄位与盲注
结算进阶,Advanced Settlement,结算进阶
入门自测,Starter Check,入门自测
分清区域，再从七张牌中选出最佳五张。,"Identify the areas, then choose the best five from seven cards.",分清区域，再从七张牌中选出最佳五张。
认识九类牌型、踢脚牌和公共牌平分。,"Learn the nine hand types, kickers, and board ties.",认识九类牌型、踢脚牌和公共牌平分。
在真实合法局面中执行五种行动。,Use all five actions in legal game states.,在真实合法局面中执行五种行动。
从翻前跟到河牌，再查看真实摊牌。,"Call from preflop to river, then see a real showdown.",从翻前跟到河牌，再查看真实摊牌。
理解多人桌与单挑的行动顺序和轮换。,Understand turn order and rotation in multiway and heads-up play.,理解多人桌与单挑的行动顺序和轮换。
用真实结算结果认识主池、边池、返还与平分。,"Use real settlements to learn main pots, side pots, returns, and splits.",用真实结算结果认识主池、边池、返还与平分。
按实际合法选项完成一手牌。,Complete a hand using its actual legal options.,按实际合法选项完成一手牌。
课程完成,Lesson complete,课程完成
你已完成本课；可以重练。,You completed this lesson. You can practice it again.,你已完成本课；可以重练。
回答正确，观察牌面和筹码的变化。,Correct. Watch the cards and chips change.,回答正确，观察牌面和筹码的变化。
请按提示重试。,Try again using the prompt.,请按提示重试。
本课已经完成。,This lesson is already complete.,本课已经完成。
课程列表,Lesson list,课程列表
